X,Y
10,90
9.16408,82.3621
8.20236,73.4096
7.3337,66.4872
6.3685,58.2816
5.47651,50.1793
4.37353,40.3745
3.56721,33.0754
2.44792,24.5863
1.61398,15.6298
2.44596,11.672
3.04327,10.4021
4.42377,6.1662
5,5
5,5
12.003,7.17295
14.8423,8.19002
22.8389,13.1495
30.6612,17.8616
38.5303,22.3473
46.4981,27.1249
54.9341,32.1756
56.211,32.9297
60,35
60,35
68.3028,34.8958
75.8988,34.9047
79.2759,34.827
82.4109,35.3003
84.9087,36.9686
85.9044,46.2769
83.2641,54.4615
81.7677,62.8232
80,65
80,65
72.1799,69.9096
68.1,72.6166
60.2413,77.666
55.4827,80.5828
47.7059,85.2672
44.0767,87.5101
40,90
