Time,UAV0_X,UAV0_Y,UAV0_V,UAV0_Heading
0,10,90,5,3.14
0.1,10.0008,89.5,5,3.19
0.2,9.9766,89.0006,5,3.24
0.3,9.92748,88.503,5,3.2549
0.4,9.87094,88.0062,5,3.25539
0.5,9.81416,87.5094,5,3.25541
0.6,9.75738,87.0127,5,3.25541
0.7,9.70059,86.5159,5,3.25541
0.8,9.6438,86.0192,5,3.25541
0.9,9.58702,85.5224,5,3.25541
1,9.53023,85.0256,5,3.25541
1.1,9.47344,84.5289,5,3.25541
1.2,9.41666,84.0321,5,3.25541
1.3,9.35987,83.5353,5,3.25541
1.4,9.30308,83.0386,5,3.25541
1.5,9.2463,82.5418,5,3.26002
1.6,9.18722,82.0453,5,3.26016
1.7,9.12807,81.5488,5,3.26017
1.8,9.06892,81.0523,5,3.26017
1.9,9.00977,80.5558,5,3.26017
2,8.95062,80.0593,5,3.26017
2.1,8.89147,79.5629,5,3.26017
2.2,8.83232,79.0664,5,3.26017
2.3,8.77317,78.5699,5,3.26017
2.4,8.71403,78.0734,5,3.26017
2.5,8.65488,77.5769,5,3.26017
2.6,8.59573,77.0804,5,3.26017
2.7,8.53658,76.5839,5,3.26017
2.8,8.47743,76.0874,5,3.26017
2.9,8.41828,75.5909,5,3.25948
3,8.35947,75.0944,5,3.25946
3.1,8.30067,74.5979,5,3.25946
3.2,8.24187,74.1014,5,3.25946
3.3,8.18307,73.6048,5,3.25946
3.4,8.12427,73.1083,5,3.25946
3.5,8.06547,72.6118,5,3.25946
3.6,8.00668,72.1152,5,3.25946
3.7,7.94788,71.6187,5,3.25946
3.8,7.88908,71.1222,5,3.25946
3.9,7.83028,70.6256,5,3.25946
4,7.77148,70.1291,5,3.25946
4.1,7.71268,69.6326,5,3.25946
4.2,7.65388,69.136,5,3.25946
4.3,7.59508,68.6395,5,3.25946
4.4,7.53629,68.143,5,3.25946
4.5,7.47749,67.6465,5,3.25576
4.6,7.42053,67.1497,5,3.25565
4.7,7.36362,66.653,5,3.25565
4.8,7.30672,66.1562,5,3.25565
4.9,7.24981,65.6595,5,3.25565
5,7.19291,65.1627,5,3.25565
5.1,7.136,64.666,5,3.25565
5.2,7.0791,64.1692,5,3.25565
5.3,7.0222,63.6724,5,3.25565
5.4,6.96529,63.1757,5,3.25565
5.5,6.90839,62.6789,5,3.25565
5.6,6.85148,62.1822,5,3.25565
5.7,6.79458,61.6854,5,3.25565
5.8,6.73767,61.1887,5,3.25565
5.9,6.68077,60.6919,5,3.25565
6,6.62387,60.1952,5,3.25565
6.1,6.56696,59.6984,5,3.25565
6.2,6.51006,59.2017,5,3.25462
6.3,6.45367,58.7049,5,3.25459
6.4,6.39729,58.2081,5,3.25459
6.5,6.34091,57.7113,5,3.25459
6.6,6.28453,57.2144,5,3.25459
6.7,6.22815,56.7176,5,3.25459
6.8,6.17177,56.2208,5,3.25459
6.9,6.1154,55.724,5,3.25459
7,6.05902,55.2272,5,3.25459
7.1,6.00264,54.7304,5,3.25459
7.2,5.94626,54.2336,5,3.25459
7.3,5.88989,53.7368,5,3.25459
7.4,5.83351,53.24,5,3.25459
7.5,5.77713,52.7431,5,3.25459
7.6,5.72075,52.2463,5,3.25459
7.7,5.66437,51.7495,5,3.25459
7.8,5.608,51.2527,5,3.25459
7.9,5.55162,50.7559,5,3.25459
8,5.49524,50.2591,5,3.25459
8.1,5.43886,49.7623,5,3.25333
8.2,5.38311,49.2654,5,3.25329
8.3,5.32738,48.7685,5,3.25329
8.4,5.27165,48.2716,5,3.25329
8.5,5.21592,47.7747,5,3.25329
8.6,5.16018,47.2779,5,3.25329
8.7,5.10445,46.781,5,3.25329
8.8,5.04872,46.2841,5,3.25329
8.9,4.99299,45.7872,5,3.25329
9,4.93726,45.2903,5,3.25329
9.1,4.88153,44.7934,5,3.25329
9.2,4.8258,44.2965,5,3.25329
9.3,4.77006,43.7997,5,3.25329
